qseqid	sseqid	alntmscore
Q05FR3	Q05FG0	0.7196
Q05FR3	Q05FR2	0.6468
Q05FR3	Q05FM5	0.7732
Q05FR3	Q05FU9	0.5100
Q05FR3	Q05FN3	0.8534
Q05FR3	Q05FN5	0.7352
Q05FR3	Q05FK4	0.8655
Q05FR3	Q05FG3	0.6553
Q05FR3	Q05FU4	0.6970
Q05FR3	Q05FW7	0.8941
Q05FR3	Q05FN4	0.5483
Q05FR3	Q05FV9	0.8104
Q05FR3	Q05FW1	0.8268
Q05FR3	Q05FJ8	0.5679
Q05FR3	Q05FP4	0.8552
Q05FR3	Q05FY8	0.6889
Q05FR3	Q05FI4	0.4635
Q05FR3	Q05FJ3	0.7761
Q05FR3	Q05FW0	0.8636
Q05FR3	Q05FG2	0.8786
Q05FR3	Q05FK2	0.7339
Q05FR3	Q05FQ4	0.7893
Q05FR3	Q05FQ1	0.7454
Q05FR3	Q05FQ3	0.8384
Q05FR3	Q05FM9	0.8320
Q05FR3	Q05FY9	0.8690
Q05FR3	Q05FH5	0.8298
Q05FR3	Q05FR8	0.7620
Q05FR3	Q05FG1	0.7738
Q05FR3	Q05FI0	0.7863
Q05FR3	Q05FL6	0.8102
Q05FR3	Q05FP5	0.6684
Q05FR3	Q05FS7	0.5023
Q05FR3	Q05FN8	0.8166
Q05FR3	Q05FV5	0.8489
Q05FR3	Q05FH6	0.6091
Q05FR3	Q05FW3	0.8064
Q05FR3	Q05FW4	0.4122
Q05FR3	Q05FS5	0.8211
Q05FR3	Q05FQ8	0.8085
Q05FR3	Q05FV3	0.7296
Q05FR3	Q05FT5	0.8282
Q05FR3	Q05FS0	0.8152
Q05FR3	Q05FW9	0.6623
Q05FR3	Q05FR0	0.8479
Q05FR3	Q05FX4	0.3039
Q05FR3	Q05FP8	0.8033
Q05FR3	Q05FS3	0.7854
Q05FR3	Q05FI5	0.7170
Q05FR3	Q05FP2	0.8442
Q05FR3	Q05FX8	0.7128
Q05FR3	Q05FT2	0.7442
Q05FR3	Q05FY0	0.8152
Q05FR3	Q05FY6	0.7446
Q05FR3	Q05FP3	0.6967
Q05FR3	Q05FS1	0.6377
Q05FR3	Q05FV0	0.7370
Q05FR3	Q05FT0	0.6555
Q05FK7	Q05FR3	0.5562
Q05FK7	Q05FT1	0.5775
Q05FK7	Q05FM4	0.7881
Q05FK7	Q05FX5	0.2750
Q05FK7	Q05FM8	0.7361
Q05FK7	Q05FT3	0.0414
Q05FK7	Q05FT4	0.4739
Q05FK7	Q05FG8	0.6433
Q05FK7	Q05FN1	0.8047
Q05FK7	Q05FS9	0.5828
Q05FK7	Q05FY4	1.0000
Q05FK7	Q05FM0	0.4682
Q05FK7	Q05FI9	0.6059
Q05FK7	Q05FL7	0.6820
Q05FK7	Q05FK6	0.7893
Q05FK7	Q05FX1	0.8661
Q05FK7	Q05FQ6	0.8450
Q05FK7	Q05FU3	0.8066
Q05FK7	Q05FL5	0.6538
Q05FK7	Q05FG7	0.6148
Q05FK7	Q05FK1	0.6245
Q05FK7	Q05FW2	0.5745
Q05FK7	Q05FL1	0.7565
Q05FK7	Q05FW8	0.8298
Q05FK7	Q05FM2	0.8788
Q05FK7	Q05FW6	0.7839
Q05FK7	Q05FQ0	0.4027
Q05FK7	Q05FJ0	0.7208
Q05FK7	Q05FK9	0.8046
Q05FK7	Q05FU5	0.5334
Q05FK7	Q05FU6	0.7863
Q05FK7	Q05FT6	0.7460
Q05FK7	Q05FV8	0.8055
Q05FK7	Q05FY1	0.8230
Q05FK7	Q05FJ7	0.8884
Q05FK7	Q05FV7	0.5730
Q05FK7	Q05FJ2	0.7945
Q05FK7	Q05FH1	0.6410
Q05FK7	Q05FU0	0.8705
Q05FK7	Q05FH8	0.8516
Q05FK7	Q05FJ6	0.8674
Q05FK7	Q05FV4	0.8580
Q05FK7	Q05FQ5	0.7215
Q05FK7	Q05FH3	0.0005
Q05FK7	Q05FK0	0.7079
Q05FK7	Q05FH2	0.3708
Q05FK7	Q05FV6	0.8851
Q05FK7	Q05FX7	0.5440
Q05FK7	Q05FI2	0.8161
Q05FK7	Q05FU1	0.8361
Q05FK7	Q05FK3	0.4316
Q05FK7	Q05FS8	0.8012
Q05FK7	Q05FR5	0.8868
Q05FK7	Q05FV2	0.6435
Q05FK7	Q05FM3	0.5971
Q05FK7	Q05FR9	0.8207
Q05FK7	Q05FJ1	0.7620
Q05FK7	Q05FK8	0.8314
Q05FK7	Q05FG9	0.8060
Q05FK7	Q05FU7	0.7181
Q05FK7	Q05FI3	0.8045
Q05FK7	Q05FX3	0.6829
Q05FK7	Q05FW5	0.6071
Q05FK7	Q05FI1	0.5353
Q05FK7	Q05FJ9	0.7683
Q05FK7	Q05FY7	0.3832
Q05FK7	Q05FN2	0.7544
Q05FK7	Q05FX2	0.6514
Q05FK7	Q05FP6	0.7813
Q05FK7	Q05FU2	0.7027
Q05FK7	Q05FH7	0.6245
Q05FK7	Q05FX6	0.6236
Q05FK7	Q05FL3	0.6330
Q05FK7	Q05FR6	0.7510
Q05FK7	Q05FT9	0.7062
Q05FK7	Q05FP1	0.5455
Q05FK7	Q05FQ2	0.8768
Q05FK7	Q05FI7	0.8624
Q05FK7	Q05FN7	0.1870
Q05FK7	Q05FH9	0.7925
Q05FK7	Q05FY2	0.6745
Q05FK7	Q05FH0	0.8561
Q05FK7	Q05FI8	0.4926
Q05FK7	Q05FP7	0.8490
Q05FK7	Q05FG6	0.6062
Q05FK7	Q05FV1	0.6616
Q05FK7	Q05FJ4	0.7616
Q05FK7	Q05FT8	0.8136
Q05FK7	Q05FQ7	0.8016
Q05FK7	Q05FT7	0.3259
Q05FK7	Q05FX0	0.2430
Q05FK7	Q05FL4	0.7903
Q05FK7	Q05FP0	0.7516
Q05FK7	Q05FH4	0.7590
Q05FK7	Q05FF8	0.7716
Q05FK7	Q05FM6	0.6280
Q05FK7	Q05FS4	0.6868
Q05FK7	Q05FR4	0.4181
Q05FK7	Q05FF9	0.8177
Q05FK7	Q05FR1	0.8891
Q05FK7	Q05FN6	0.7897
Q05FK7	Q05FY5	0.6716
Q05FK7	Q05FX9	0.6431
Q05FK7	Q05FY3	0.7140
Q05FK7	Q05FL0	0.5366
Q05FK7	Q05FR7	0.7351
Q05FK7	Q05FL2	0.7313
Q05FK7	Q05FJ5	0.3881
Q05FK7	Q05FL8	0.7417
Q05FK7	Q05FM1	0.7599
Q05FK7	Q05FN0	0.7713
Q05FK7	Q05FS2	0.8382
Q05FK7	Q05FG5	0.8157
Q05FK7	Q05FP9	0.7789
Q05FK7	Q05FM7	0.1401
Q05FK7	Q05FK5	0.8818
Q05FK7	Q05FG4	0.8132
Q05FK7	Q05FL9	0.8140
Q05FK7	Q05FN9	0.8160
Q05FK7	Q05FS6	0.7655
Q05FK7	Q05FQ9	0.2817
Q05FK7	Q05FI6	0.5095
Q05FK7	Q05FU8	0.8304
Q05FK7	Q05FG0	0.3157
Q05FK7	Q05FR2	0.7451
Q05FK7	Q05FM5	0.7419
Q05FK7	Q05FU9	0.7601
Q05FK7	Q05FN3	0.8646
Q05FK7	Q05FN5	0.6281
Q05FK7	Q05FK4	0.6683
Q05FK7	Q05FG3	0.8165
Q05FK7	Q05FU4	0.3493
Q05FK7	Q05FW7	0.6821
Q05FK7	Q05FN4	0.6474
Q05FK7	Q05FV9	0.5431
Q05FK7	Q05FW1	0.6702
Q05FK7	Q05FJ8	0.5852
Q05FK7	Q05FP4	0.7986
Q05FK7	Q05FY8	0.8316
Q05FK7	Q05FI4	0.7327
Q05FK7	Q05FJ3	0.8521
Q05FK7	Q05FW0	0.6425
Q05FK7	Q05FG2	0.7260
Q05FK7	Q05FK2	0.1217
Q05FK7	Q05FQ4	0.4887
Q05FK7	Q05FQ1	0.8017
Q05FK7	Q05FQ3	0.6086
Q05FK7	Q05FM9	0.8520
Q05FK7	Q05FY9	0.8136
Q05FK7	Q05FH5	0.7343
Q05FK7	Q05FR8	0.8350
Q05FK7	Q05FG1	0.8223
Q05FK7	Q05FI0	0.7367
Q05FK7	Q05FL6	0.6632
Q05FK7	Q05FP5	0.3018
Q05FK7	Q05FS7	0.6772
Q05FK7	Q05FN8	0.8690
Q05FK7	Q05FV5	0.5388
Q05FK7	Q05FH6	0.8041
Q05FK7	Q05FW3	0.0367
Q05FK7	Q05FW4	0.2040
Q05FK7	Q05FS5	0.6743
Q05FK7	Q05FQ8	0.6432
Q05FK7	Q05FV3	0.8471
Q05FK7	Q05FT5	0.7167
Q05FK7	Q05FS0	0.6733
Q05FK7	Q05FW9	0.8298
Q05FK7	Q05FR0	0.7227
Q05FK7	Q05FX4	0.5473
Q05FK7	Q05FP8	0.5497
Q05FK7	Q05FS3	0.8444
Q05FK7	Q05FI5	0.8067
Q05FK7	Q05FP2	0.6175
Q05FK7	Q05FX8	0.5481
Q05FK7	Q05FT2	0.7707
Q05FK7	Q05FY0	0.7004
Q05FK7	Q05FY6	0.5000
Q05FK7	Q05FP3	0.5613
Q05FK7	Q05FS1	0.0090
Q05FK7	Q05FV0	0.8228
Q05FK7	Q05FT0	0.7158
Q05FT1	Q05FR3	0.8552
Q05FT1	Q05FK7	0.5775
Q05FT1	Q05FM4	0.1357
Q05FT1	Q05FX5	0.8463
Q05FT1	Q05FM8	0.6979
Q05FT1	Q05FT3	0.5029
Q05FT1	Q05FT4	0.6450
Q05FT1	Q05FG8	0.6701
Q05FT1	Q05FN1	0.8129
Q05FT1	Q05FS9	0.7097
Q05FT1	Q05FY4	0.4156
Q05FT1	Q05FM0	0.8226
Q05FT1	Q05FI9	0.4654
Q05FT1	Q05FL7	0.6866
Q05FT1	Q05FK6	0.6567
Q05FT1	Q05FX1	0.6751
Q05FT1	Q05FQ6	0.7520
Q05FT1	Q05FU3	0.8460
Q05FT1	Q05FL5	0.7128
Q05FT1	Q05FG7	0.7370
Q05FT1	Q05FK1	0.5103
Q05FT1	Q05FW2	0.7810
Q05FT1	Q05FL1	0.8177
Q05FT1	Q05FW8	0.6752
Q05FT1	Q05FM2	0.7144
Q05FT1	Q05FW6	0.8151
Q05FT1	Q05FQ0	0.7710
Q05FT1	Q05FJ0	0.7659
Q05FT1	Q05FK9	0.5543
Q05FT1	Q05FU5	0.3390
Q05FT1	Q05FU6	0.5539
Q05FT1	Q05FT6	0.8220
Q05FT1	Q05FV8	0.7078
Q05FT1	Q05FY1	0.8051
Q05FT1	Q05FJ7	0.2793
Q05FT1	Q05FV7	0.3098
Q05FT1	Q05FJ2	0.5090
Q05FT1	Q05FH1	0.7372
Q05FT1	Q05FU0	0.8143
Q05FT1	Q05FH8	0.8445
Q05FT1	Q05FJ6	0.4980
Q05FT1	Q05FV4	0.6592
Q05FT1	Q05FQ5	0.5192
Q05FT1	Q05FH3	0.7200
Q05FT1	Q05FK0	0.6076
Q05FT1	Q05FH2	0.8205
Q05FT1	Q05FV6	0.7819
Q05FT1	Q05FX7	0.6707
Q05FT1	Q05FI2	0.8059
Q05FT1	Q05FU1	0.7369
Q05FT1	Q05FK3	0.3257
Q05FT1	Q05FS8	0.7077
Q05FT1	Q05FR5	0.5756
Q05FT1	Q05FV2	0.6275
Q05FT1	Q05FM3	0.6533
Q05FT1	Q05FR9	0.6466
Q05FT1	Q05FJ1	0.5794
Q05FT1	Q05FK8	0.6547
Q05FT1	Q05FG9	0.6637
Q05FT1	Q05FU7	0.8132
Q05FT1	Q05FI3	0.6406
Q05FT1	Q05FX3	0.6047
Q05FT1	Q05FW5	0.7690
Q05FT1	Q05FI1	0.7502
Q05FT1	Q05FJ9	0.5224
Q05FT1	Q05FY7	0.7798
Q05FT1	Q05FN2	0.8124
Q05FT1	Q05FX2	0.5301
Q05FT1	Q05FP6	0.2744
Q05FT1	Q05FU2	0.4398
Q05FT1	Q05FH7	0.7560
Q05FT1	Q05FX6	0.8152
Q05FT1	Q05FL3	0.6398
Q05FT1	Q05FR6	0.7291
Q05FT1	Q05FT9	0.5925
Q05FT1	Q05FP1	0.7126
Q05FT1	Q05FQ2	0.8143
Q05FT1	Q05FI7	0.6422
Q05FT1	Q05FN7	0.4638
Q05FT1	Q05FH9	0.8106
Q05FT1	Q05FY2	0.7436
Q05FT1	Q05FH0	0.7711
Q05FT1	Q05FI8	0.6555
Q05FT1	Q05FP7	0.6108
Q05FT1	Q05FG6	0.7493
Q05FT1	Q05FV1	0.8337
Q05FT1	Q05FJ4	0.6508
Q05FT1	Q05FT8	0.5261
Q05FT1	Q05FQ7	0.5807
Q05FT1	Q05FT7	0.7772
Q05FT1	Q05FX0	0.8275
Q05FT1	Q05FL4	0.5900
Q05FT1	Q05FP0	0.7319
Q05FT1	Q05FH4	0.6542
Q05FT1	Q05FF8	0.5937
Q05FT1	Q05FM6	0.6447
Q05FT1	Q05FS4	0.4105
Q05FT1	Q05FR4	0.7930
Q05FT1	Q05FF9	0.2448
Q05FT1	Q05FR1	0.4928
Q05FT1	Q05FN6	0.7339
Q05FT1	Q05FY5	0.7702
Q05FT1	Q05FX9	0.6498
Q05FT1	Q05FY3	0.8258
Q05FT1	Q05FL0	0.7179
Q05FT1	Q05FR7	0.6613
Q05FT1	Q05FL2	0.4795
Q05FT1	Q05FJ5	0.7173
Q05FT1	Q05FL8	0.6885
Q05FT1	Q05FM1	0.6369
Q05FT1	Q05FN0	0.7764
Q05FT1	Q05FS2	0.6182
Q05FT1	Q05FG5	0.1705
Q05FT1	Q05FP9	0.8207
Q05FT1	Q05FM7	0.8248
Q05FT1	Q05FK5	0.5882
Q05FT1	Q05FG4	0.8470
Q05FT1	Q05FL9	0.4813
Q05FT1	Q05FN9	0.7784
Q05FT1	Q05FS6	0.7381
Q05FT1	Q05FQ9	0.5575
Q05FT1	Q05FI6	0.6858
Q05FT1	Q05FU8	0.5779
Q05FT1	Q05FG0	0.7974
Q05FT1	Q05FR2	0.8013
Q05FT1	Q05FM5	0.2452
Q05FT1	Q05FU9	0.5772
Q05FT1	Q05FN3	0.7796
Q05FT1	Q05FN5	0.8291
Q05FT1	Q05FK4	0.8234
Q05FT1	Q05FG3	0.6360
Q05FT1	Q05FU4	0.7123
Q05FT1	Q05FW7	0.8485
Q05FT1	Q05FN4	0.7739
Q05FT1	Q05FV9	0.5068
Q05FT1	Q05FW1	0.8013
Q05FT1	Q05FJ8	0.6003
Q05FT1	Q05FP4	0.6958
Q05FT1	Q05FY8	0.7547
Q05FT1	Q05FI4	0.3788
Q05FT1	Q05FJ3	0.6082
Q05FT1	Q05FW0	0.8490
Q05FT1	Q05FG2	0.6852
Q05FT1	Q05FK2	0.6966
Q05FT1	Q05FQ4	0.6931
Q05FT1	Q05FQ1	0.4456
Q05FT1	Q05FQ3	0.6181
Q05FT1	Q05FM9	0.8581
Q05FT1	Q05FY9	0.8432
Q05FT1	Q05FH5	0.7837
Q05FT1	Q05FR8	0.5278
Q05FT1	Q05FG1	0.5803
Q05FT1	Q05FI0	0.6680
Q05FT1	Q05FL6	0.3806
Q05FT1	Q05FP5	0.5023
Q05FT1	Q05FS7	0.5582
Q05FT1	Q05FN8	0.8200
Q05FT1	Q05FV5	0.6523
Q05FT1	Q05FH6	0.7097
Q05FT1	Q05FW3	0.7896
Q05FT1	Q05FW4	0.6059
Q05FT1	Q05FS5	0.3817
Q05FT1	Q05FQ8	0.8078
Q05FT1	Q05FV3	0.4823
Q05FT1	Q05FT5	0.8952
Q05FT1	Q05FS0	0.8882
Q05FT1	Q05FW9	0.6888
Q05FT1	Q05FR0	0.5111
Q05FT1	Q05FX4	0.4968
Q05FT1	Q05FP8	0.7965
Q05FT1	Q05FS3	0.6042
Q05FT1	Q05FI5	0.5115
Q05FT1	Q05FP2	0.8441
Q05FT1	Q05FX8	0.7708
Q05FT1	Q05FT2	0.8075
Q05FT1	Q05FY0	0.4963
Q05FT1	Q05FY6	0.7037
Q05FT1	Q05FP3	0.8093
Q05FT1	Q05FS1	0.7612
Q05FT1	Q05FV0	0.5181
Q05FT1	Q05FT0	0.6583
Q05FM4	Q05FR3	0.4505
Q05FM4	Q05FK7	0.7881
Q05FM4	Q05FT1	0.1357
Q05FM4	Q05FX5	0.2003
Q05FM4	Q05FM8	0.5154
Q05FM4	Q05FT3	0.0255
Q05FM4	Q05FT4	0.7642
Q05FM4	Q05FG8	0.7470
Q05FM4	Q05FN1	0.6953
Q05FM4	Q05FS9	0.3334
Q05FM4	Q05FY4	0.0219
Q05FM4	Q05FM0	0.5582
Q05FM4	Q05FI9	0.6303
Q05FM4	Q05FL7	0.6530
Q05FM4	Q05FK6	0.5948
Q05FM4	Q05FX1	0.7577
Q05FM4	Q05FQ6	0.7296
Q05FM4	Q05FU3	0.3380
Q05FM4	Q05FL5	0.5133
Q05FM4	Q05FG7	0.6903
Q05FM4	Q05FK1	0.3705
Q05FM4	Q05FW2	0.2620
Q05FM4	Q05FL1	0.7365
Q05FM4	Q05FW8	0.4771
Q05FM4	Q05FM2	0.7424
Q05FM4	Q05FW6	0.7901
Q05FM4	Q05FQ0	0.1733
Q05FM4	Q05FJ0	0.6104
Q05FM4	Q05FK9	0.5886
Q05FM4	Q05FU5	0.7003
Q05FM4	Q05FU6	0.8074
Q05FM4	Q05FT6	0.5147
Q05FM4	Q05FV8	0.5061
Q05FM4	Q05FY1	0.7754
Q05FM4	Q05FJ7	0.8111
Q05FM4	Q05FV7	0.1956
Q05FM4	Q05FJ2	0.7336
Q05FM4	Q05FH1	0.2952
Q05FM4	Q05FU0	0.7701
Q05FM4	Q05FH8	0.7594
Q05FM4	Q05FJ6	0.8251
Q05FM4	Q05FV4	0.4137
Q05FM4	Q05FQ5	0.8278
Q05FM4	Q05FH3	0.0268
Q05FM4	Q05FK0	0.4158
Q05FM4	Q05FH2	0.0330
Q05FM4	Q05FV6	0.7503
Q05FM4	Q05FX7	0.5734
Q05FM4	Q05FI2	0.5011
Q05FM4	Q05FU1	0.7440
Q05FM4	Q05FK3	0.5168
Q05FM4	Q05FS8	0.6552
Q05FM4	Q05FR5	0.7679
Q05FM4	Q05FV2	0.5880
Q05FM4	Q05FM3	0.1536
Q05FM4	Q05FR9	0.7124
Q05FM4	Q05FJ1	0.7321
Q05FM4	Q05FK8	0.7303
Q05FM4	Q05FG9	0.6022
Q05FM4	Q05FU7	0.7109
Q05FM4	Q05FI3	0.7835
Q05FM4	Q05FX3	0.5776
Q05FM4	Q05FW5	0.5392
Q05FM4	Q05FI1	0.2550
Q05FM4	Q05FJ9	0.5774
Q05FM4	Q05FY7	0.1565
Q05FM4	Q05FN2	0.7451
Q05FM4	Q05FX2	0.7986
Q05FM4	Q05FP6	0.6324
Q05FM4	Q05FU2	0.3964
Q05FM4	Q05FH7	0.5362
Q05FM4	Q05FX6	0.6959
Q05FM4	Q05FL3	0.6816
Q05FM4	Q05FR6	0.6545
Q05FM4	Q05FT9	0.5934
Q05FM4	Q05FP1	0.1387
Q05FM4	Q05FQ2	0.6698
Q05FM4	Q05FI7	0.7897
Q05FM4	Q05FN7	0.6385
Q05FM4	Q05FH9	0.6535
Q05FM4	Q05FY2	0.4088
Q05FM4	Q05FH0	0.7680
Q05FM4	Q05FI8	0.3683
Q05FM4	Q05FP7	0.7814
Q05FM4	Q05FG6	0.1234
Q05FM4	Q05FV1	0.3202
Q05FM4	Q05FJ4	0.7730
Q05FM4	Q05FT8	0.8397
Q05FM4	Q05FQ7	0.4017
Q05FM4	Q05FT7	0.3316
Q05FM4	Q05FX0	0.3819
Q05FM4	Q05FL4	0.6308
Q05FM4	Q05FP0	0.7759
Q05FM4	Q05FH4	0.6178
Q05FM4	Q05FF8	0.6971
Q05FM4	Q05FM6	0.5595
Q05FM4	Q05FS4	0.4856
Q05FM4	Q05FR4	0.2428
Q05FM4	Q05FF9	0.7026
Q05FM4	Q05FR1	0.6325
Q05FM4	Q05FN6	0.4852
Q05FM4	Q05FY5	0.0967
Q05FM4	Q05FX9	0.0163
Q05FM4	Q05FY3	0.8171
Q05FM4	Q05FL0	0.1782
Q05FM4	Q05FR7	0.6276
Q05FM4	Q05FL2	0.5788
Q05FM4	Q05FJ5	0.2147
Q05FM4	Q05FL8	0.6649
Q05FM4	Q05FM1	0.6289
Q05FM4	Q05FN0	0.6063
Q05FM4	Q05FS2	0.5805
Q05FM4	Q05FG5	0.6536
Q05FM4	Q05FP9	0.7214
Q05FM4	Q05FM7	0.0390
Q05FM4	Q05FK5	0.8312
Q05FM4	Q05FG4	0.3854
Q05FM4	Q05FL9	0.6473
Q05FM4	Q05FN9	0.7523
Q05FM4	Q05FS6	0.6705
Q05FM4	Q05FQ9	0.7007
Q05FM4	Q05FI6	0.6599
Q05FM4	Q05FU8	0.7143
Q05FM4	Q05FG0	0.0727
Q05FM4	Q05FR2	0.7672
Q05FM4	Q05FM5	0.6073
Q05FM4	Q05FU9	0.7541
Q05FM4	Q05FN3	0.7518
Q05FM4	Q05FN5	0.5388
Q05FM4	Q05FK4	0.1628
Q05FM4	Q05FG3	0.6532
Q05FM4	Q05FU4	0.3531
Q05FM4	Q05FW7	0.7438
Q05FM4	Q05FN4	0.0239
Q05FM4	Q05FV9	0.5972
Q05FM4	Q05FW1	0.7008
Q05FM4	Q05FJ8	0.7488
Q05FM4	Q05FP4	0.7844
Q05FM4	Q05FY8	0.6027
Q05FM4	Q05FI4	0.7186
Q05FM4	Q05FJ3	0.6408
Q05FM4	Q05FW0	0.4917
Q05FM4	Q05FG2	0.6414
Q05FM4	Q05FK2	0.3389
Q05FM4	Q05FQ4	0.7566
Q05FM4	Q05FQ1	0.7823
Q05FM4	Q05FQ3	0.7632
Q05FM4	Q05FM9	0.7384
Q05FM4	Q05FY9	0.7269
Q05FM4	Q05FH5	0.5547
Q05FM4	Q05FR8	0.4552
Q05FM4	Q05FG1	0.6671
Q05FM4	Q05FI0	0.6964
Q05FM4	Q05FL6	0.7997
Q05FM4	Q05FP5	0.1197
Q05FM4	Q05FS7	0.8588
Q05FM4	Q05FN8	0.8372
Q05FM4	Q05FV5	0.6463
Q05FM4	Q05FH6	0.6322
Q05FM4	Q05FW3	0.2905
Q05FM4	Q05FW4	0.1773
Q05FM4	Q05FS5	0.2832
Q05FM4	Q05FQ8	0.7566
Q05FM4	Q05FV3	0.5692
Q05FM4	Q05FT5	0.7928
Q05FM4	Q05FS0	0.5150
Q05FM4	Q05FW9	0.6257
Q05FM4	Q05FR0	0.4109
Q05FM4	Q05FX4	0.0609
Q05FM4	Q05FP8	0.7024
Q05FM4	Q05FS3	0.6411
Q05FM4	Q05FI5	0.7663
Q05FM4	Q05FP2	0.7959
Q05FM4	Q05FX8	0.6694
Q05FM4	Q05FT2	0.7550
Q05FM4	Q05FY0	0.5597
Q05FM4	Q05FY6	0.0407
Q05FM4	Q05FP3	0.6556
Q05FM4	Q05FS1	0.2354
Q05FM4	Q05FV0	0.6349
Q05FM4	Q05FT0	0.7029
Q05FX5	Q05FR3	0.5832
Q05FX5	Q05FK7	0.2750
Q05FX5	Q05FT1	0.8463
Q05FX5	Q05FM4	0.2003
Q05FX5	Q05FM8	0.8237
Q05FX5	Q05FT3	0.6244
